cost_setting,user_type,adaptive_policy,adaptive_final_utility,best_fixed_policy,best_fixed_final_utility,utility_diff_adaptive_minus_best_fixed,adaptive_final_cumregret,best_fixed_final_cumregret,cumregret_diff_adaptive_minus_best_fixed
low,Type1_ExplanationOriented,Adaptive (TS),0.7083333333333331,Always Explain,0.8666666666666664,-0.15833333333333321,17.711666666666666,0.0,17.711666666666666
low,Type2_Minimalist,Adaptive (TS),0.798333333333333,Always Update,0.7499999999999996,0.04833333333333345,12.115000000000004,0.0,12.115000000000004
low,Type3_SituationSensitive,Adaptive (TS),0.5516666666666666,Random,0.7433333333333331,-0.19166666666666643,19.19666666666666,61.08033333333331,-41.88366666666665
base,Type1_ExplanationOriented,Adaptive (TS),0.7316666666666669,Always Update,0.6499999999999997,0.08166666666666722,17.648333333333333,39.92666666666683,-22.2783333333335
base,Type2_Minimalist,Adaptive (TS),0.6233333333333331,Always Update,0.783333333333333,-0.15999999999999992,11.77500000000001,0.0,11.77500000000001
base,Type3_SituationSensitive,Adaptive (TS),0.7833333333333333,Always Explain,0.6833333333333336,0.09999999999999976,16.250666666666667,54.654999999999895,-38.40433333333323
high,Type1_ExplanationOriented,Adaptive (TS),0.6716666666666665,Always Explain,0.55,0.12166666666666648,12.473333333333334,0.0,12.473333333333334
high,Type2_Minimalist,Adaptive (TS),0.8066666666666664,Always Update,0.8166666666666662,-0.009999999999999787,8.553333333333336,0.0,8.553333333333336
high,Type3_SituationSensitive,Adaptive (TS),0.6466666666666665,Always Update,0.5833333333333329,0.06333333333333357,16.183666666666667,32.06100000000002,-15.877333333333354
